"id","treated","score","nationality","age","gender","birth_urbanrural","educ","ud_freedom_movement"
1,0,1,"Indonesia",25,"Female","Rural","Secondary (usually until 18 years old)","Never"
2,0,1,"Indonesia",37,"Female","Rural","Elementary (usually until 12 years old)","Refused to answer"
3,0,1,"Indonesia",23,"Female","Urban","Secondary (usually until 18 years old)","Rarely"
4,0,1,"Indonesia",25,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
5,0,1,"Indonesia",29,"Female","Refused to answer","Secondary (usually until 18 years old)","Never"
6,1,1,"The Philippines",43,"Female","Urban","Secondary (usually until 18 years old)","Never"
7,1,1,"The Philippines",35,"Female","Urban","Secondary (usually until 18 years old)","Never"
8,0,1,"The Philippines",38,"Female","Urban","College/University","Never"
9,0,0.333333333333333,"The Philippines",43,"Female","Urban","Secondary (usually until 18 years old)","Never"
10,1,1,"The Philippines",31,"Female","Rural","College/University","Yes, all of the time"
11,1,1,"The Philippines",46,"Female","Rural","College/University","Never"
12,0,1,"The Philippines",55,"Female","Rural","College/University","Never"
13,1,1,"Indonesia",38,"Female","Rural","Secondary (usually until 18 years old)","Never"
14,1,1,"Indonesia",36,"Female","Rural","College/University","Sometimes"
15,1,1,"Indonesia",38,"Female","Rural","Elementary (usually until 12 years old)","Sometimes"
16,0,0.8,"Indonesia",34,"Female","Rural","Secondary (usually until 18 years old)","Never"
17,0,NA,"Indonesia",27,"Female","Rural","Secondary (usually until 18 years old)","Never"
18,0,0.25,"Indonesia",26,"Female","Urban","Elementary (usually until 12 years old)","Rarely"
19,1,1,"Indonesia",32,"Female","Rural","College/University","Never"
20,0,0.4,"Indonesia",31,"Female","Rural","Elementary (usually until 12 years old)","Never"
21,0,0,"Indonesia",29,"Female","Rural","Secondary (usually until 18 years old)","Never"
22,1,0.25,"Indonesia",25,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
23,1,1,"Indonesia",35,"Female","Urban","Secondary (usually until 18 years old)","Never"
24,1,1,"Indonesia",45,"Female","Rural","Secondary (usually until 18 years old)","Never"
25,0,0.4,"Indonesia",40,"Female","Rural","Elementary (usually until 12 years old)","Sometimes"
26,1,0.25,"Indonesia",30,"Female","Urban","Secondary (usually until 18 years old)","Never"
27,1,1,"Indonesia",23,"Female","Urban","Secondary (usually until 18 years old)","Never"
28,0,0,"Indonesia",35,"Female","Rural","Elementary (usually until 12 years old)","Never"
29,0,0.8,"Indonesia",47,"Female","Rural","Secondary (usually until 18 years old)","Never"
30,1,0.8,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Never"
31,0,1,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Never"
32,0,1,"Indonesia",40,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
33,0,1,"Indonesia",46,"Female","Rural","Secondary (usually until 18 years old)","Never"
34,0,0.6,"Indonesia",33,"Female","Rural","Secondary (usually until 18 years old)","Never"
35,0,0.6,"Indonesia",36,"Female","Urban","Secondary (usually until 18 years old)","Rarely"
36,0,0.666666666666667,"Indonesia",28,"Female","Urban","Secondary (usually until 18 years old)","Sometimes"
37,0,1,"The Philippines",40,"Female","Urban","College/University","Never"
38,1,1,"The Philippines",40,"Female","Urban","College/University","Never"
39,1,1,"The Philippines",39,"Female","Rural","College/University","Never"
40,1,1,"The Philippines",31,"Female","Urban","Secondary (usually until 18 years old)","Never"
41,1,1,"The Philippines",30,"Female","Urban","Postgraduate studies (Masters or Phd)","Never"
42,0,1,"The Philippines",32,"Female","Refused to answer","College/University","Never"
43,0,1,"The Philippines",42,"Female","Refused to answer","College/University","Never"
44,1,NA,"The Philippines",36,"Female","Urban","Secondary (usually until 18 years old)","Refused to answer"
45,1,1,"The Philippines",31,"Female","Urban","Secondary (usually until 18 years old)","Sometimes"
46,1,0.666666666666667,"The Philippines",34,"Female","Urban","Secondary (usually until 18 years old)","Refused to answer"
47,1,0.6,"The Philippines",54,"Female","Refused to answer","No completed formal education","Yes, all of the time"
48,1,1,"The Philippines",59,"Female","Rural","College/University","Yes, all of the time"
49,0,1,"The Philippines",30,"Female","Rural","College/University","Refused to answer"
50,1,1,"Indonesia",34,"Female","Rural","College/University","Yes, all of the time"
51,1,1,"The Philippines",34,"Female","Refused to answer","Secondary (usually until 18 years old)","Never"
52,1,1,"The Philippines",35,"Female","Rural","College/University","Never"
53,1,0.5,"The Philippines",30,"Female","Urban","College/University","Never"
54,0,1,"The Philippines",38,"Female","Urban","Secondary (usually until 18 years old)","Never"
55,1,1,"The Philippines",42,"Female","Urban","College/University","Yes, all of the time"
56,1,1,"Indonesia",43,"Female","Rural","Elementary (usually until 12 years old)","Never"
57,1,1,"Indonesia",50,"Female","Rural","Secondary (usually until 18 years old)","Never"
58,1,0.8,"Indonesia",42,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
59,0,1,"Indonesia",35,"Female","Rural","Elementary (usually until 12 years old)","Never"
60,0,0.6,"Indonesia",26,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
61,0,1,"Nepal",28,"Female","Urban","Elementary (usually until 12 years old)","Never"
62,0,1,"Indonesia",47,"Female","Rural","Elementary (usually until 12 years old)","Never"
63,1,1,"Indonesia",27,"Female","Rural","Secondary (usually until 18 years old)","Often"
64,1,1,"Indonesia",29,"Female","Rural","Secondary (usually until 18 years old)","Never"
65,0,1,"Indonesia",47,"Female","Urban","Secondary (usually until 18 years old)","Never"
66,1,1,"Indonesia",36,"Female","Rural","Secondary (usually until 18 years old)","Never"
67,1,NA,"Indonesia",28,"Female","Rural","Postgraduate studies (Masters or Phd)","Often"
68,1,0.8,"Indonesia",25,"Female","Urban","Secondary (usually until 18 years old)","Never"
69,0,0.6,"The Philippines",31,"Female","Urban","College/University","Never"
70,1,1,"The Philippines",29,"Female","Rural","Secondary (usually until 18 years old)","Sometimes"
71,1,1,"The Philippines",43,"Female","Urban","Secondary (usually until 18 years old)","Never"
72,0,1,"The Philippines",40,"Female","Rural","College/University","Refused to answer"
73,0,0.25,"The Philippines",43,"Female","Rural","College/University","Sometimes"
74,1,1,"The Philippines",36,"Female","Urban","Secondary (usually until 18 years old)","Refused to answer"
75,0,1,"The Philippines",33,"Female","Rural","Secondary (usually until 18 years old)","Rarely"
76,0,1,"The Philippines",36,"Female","Urban","Secondary (usually until 18 years old)","Often"
77,1,0.5,"The Philippines",35,"Female","Rural","College/University","Never"
78,0,0.6,"The Philippines",27,"Female","Refused to answer","College/University","Rarely"
79,0,0.75,"The Philippines",29,"Female","Urban","Secondary (usually until 18 years old)","Rarely"
80,1,0.2,"The Philippines",38,"Female","Rural","Refused to answer","Rarely"
81,1,1,"The Philippines",50,"Female","Rural","College/University","Refused to answer"
82,1,0.8,"Indonesia",34,"Female","Rural","Secondary (usually until 18 years old)","Never"
83,1,1,"Indonesia",34,"Female","Rural","Secondary (usually until 18 years old)","Never"
84,1,0.8,"Indonesia",45,"Female","Urban","Secondary (usually until 18 years old)","Never"
85,1,0.8,"The Philippines",31,"Female","Urban","College/University","Sometimes"
86,0,1,"The Philippines",52,"Female","Urban","College/University","Never"
87,1,1,"The Philippines",38,"Female","Urban","College/University","Never"
88,1,1,"The Philippines",45,"Female","Urban","College/University","Yes, all of the time"
89,1,0.8,"The Philippines",35,"Female","Urban","Secondary (usually until 18 years old)","Never"
90,0,0.8,"The Philippines",41,"Female","Rural","College/University","Never"
91,1,1,"The Philippines",31,"Female","Urban","Secondary (usually until 18 years old)","Never"
92,0,0.5,"The Philippines",43,"Female","Urban","College/University","Never"
93,1,1,"The Philippines",38,"Female","Urban","Secondary (usually until 18 years old)","Sometimes"
94,1,1,"The Philippines",49,"Female","Urban","College/University","Never"
95,1,0.8,"The Philippines",46,"Female","Urban","College/University","Never"
96,0,1,"The Philippines",42,"Female","Urban","College/University","Yes, all of the time"
97,1,0.6,"The Philippines",35,"Female","Rural","Secondary (usually until 18 years old)","Often"
98,1,1,"The Philippines",34,"Female","Rural","Postgraduate studies (Masters or Phd)","Never"
99,0,1,"The Philippines",51,"Female","Rural","Secondary (usually until 18 years old)","Refused to answer"
100,0,0.75,"The Philippines",33,"Female","Urban","Secondary (usually until 18 years old)","Sometimes"
101,1,0.75,"Indonesia",41,"Female","Urban","Elementary (usually until 12 years old)","Never"
102,1,0.8,"Indonesia",30,"Female","Rural","Secondary (usually until 18 years old)","Never"
103,1,0.8,"Indonesia",42,"Female","Rural","Secondary (usually until 18 years old)","Never"
104,0,1,"Indonesia",40,"Female","Rural","Secondary (usually until 18 years old)","Rarely"
