"country","population","region","prev_per_1000","prev_total","governance_issues","basic_needs","inequality","disenfranchised_groups","effect_conflict","vulnerability","survivor_support","criminal_justice","coordination","risk_factors","sourcing_reform","government_response","surveyed"
"Afghanistan","38928000","Asia and the Pacific",13,505000,75,49,71,73,98,86,NA,NA,NA,NA,NA,NA,1
"Albania","2878000","Europe and Central Asia",11.8,34000,39,31,44,68,22,40,55,69,75,79,13,62,1
"Algeria","43851000","Africa",1.9,84000,54,27,30,58,34,43,23,54,38,43,0,36,1
"Angola","32866000","Africa",4.1,136000,51,63,55,71,29,61,59,46,63,29,0,44,0
"Antigua and Barbuda","98000","Americas",NA,NA,NA,NA,NA,NA,NA,NA,36,54,63,50,0,44,0
"Argentina","45196000","Americas",4.2,189000,41,29,53,43,15,36,50,73,75,64,0,58,1
"Armenia","2963000","Europe and Central Asia",8.9,26000,60,31,36,67,21,48,64,58,75,50,0,54,0
"Australia","25500000","Asia and the Pacific",1.6,41000,3,29,18,29,26,7,64,69,75,79,38,67,0
"Austria","9006000","Europe and Central Asia",1.9,17000,10,22,17,35,19,8,59,65,75,71,25,62,0
"Azerbaijan","10139000","Europe and Central Asia",10.6,107000,67,34,28,84,33,57,64,69,63,64,0,59,0
"Bahamas","393000","Americas",NA,NA,NA,NA,NA,NA,NA,NA,68,65,25,50,0,53,0
"Bahrain","1702000","Arab States",6.7,11000,51,34,27,62,13,40,77,50,63,57,0,55,1
"Bangladesh","164689000","Asia and the Pacific",7.1,1162000,52,44,38,81,53,58,41,69,50,50,0,49,1
"Barbados","287000","Americas",NA,NA,NA,NA,NA,NA,NA,NA,36,54,38,50,0,41,0
"Belarus","9449000","Europe and Central Asia",11.3,107000,53,31,27,64,18,41,64,50,38,50,0,47,0
"Belgium","11590000","Europe and Central Asia",1,11000,15,22,27,18,29,11,45,65,75,71,38,59,0
"Belize","398000","Americas",NA,NA,NA,NA,NA,NA,NA,NA,50,58,38,43,0,45,0
"Benin","12123000","Africa",3,37000,49,46,47,58,18,48,32,54,50,43,0,40,0
"Bolivia","11673000","Americas",7.2,83000,48,40,49,63,20,47,32,58,75,57,13,47,0
"Bosnia and Herzegovina","3281000","Europe and Central Asia",10.1,33000,38,22,35,74,26,36,68,65,63,57,0,58,1
"Botswana","2352000","Africa",1.8,4000,47,48,55,49,5,45,32,54,63,50,0,42,1
"Brazil","212559000","Americas",5,1053000,50,28,67,47,31,47,45,50,75,57,38,51,1
"Brunei Darussalam","437000","Asia and the Pacific",NA,NA,NA,NA,NA,NA,NA,NA,27,42,25,57,0,35,1
"Bulgaria","6948000","Europe and Central Asia",8.5,59000,24,21,44,62,14,26,50,65,63,57,25,55,1
"Burkina Faso","20903000","Africa",3.7,77000,47,47,48,60,60,56,45,42,38,29,0,36,0
"Burundi","11891000","Africa",7.5,89000,77,58,54,76,46,77,23,42,63,14,0,29,0
"Cambodia","16719000","Asia and the Pacific",5,83000,60,56,43,63,22,58,41,46,75,43,0,42,1
"Cameroon","26546000","Africa",5.8,155000,58,50,56,76,75,70,55,46,38,36,0,41,1
"Canada","37742000","Americas",1.8,69000,13,28,18,25,27,11,59,58,75,79,25,60,0
"Cape Verde"," -   ","Africa",NA,NA,NA,NA,NA,NA,NA,NA,23,35,50,43,0,31,0
"Central African Republic","4830000","Africa",5.2,25000,76,76,85,81,83,98,23,42,25,21,0,27,0
"Chad","16426000","Africa",5.9,97000,86,55,56,80,57,84,14,38,13,36,0,24,0
"Chile","19116000","Americas",3.2,61000,20,24,37,46,28,22,55,69,50,64,0,55,1
"China","1439324000","Asia and the Pacific",4,5771000,51,30,36,68,34,46,41,46,50,36,13,40,0
"Colombia","50883000","Americas",7.8,397000,44,32,62,58,58,51,45,46,63,57,13,46,1
"Costa Rica","5094000","Americas",3.2,16000,29,26,42,33,14,24,50,62,63,50,13,51,0
"Côte d'Ivoire","26378000","Africa",7.3,193000,61,39,56,63,39,59,18,50,63,43,13,37,1
"Croatia","4105000","Europe and Central Asia",5.2,22000,31,33,31,56,15,30,59,65,75,64,13,59,0
"Cuba","11327000","Americas",5.4,61000,56,35,37,45,20,43,27,38,50,29,0,31,0
"Cyprus","1207000","Europe and Central Asia",8,10000,17,24,33,54,26,21,64,62,63,57,25,58,0
"Czechia","10709000","Europe and Central Asia",4.2,45000,14,20,24,48,15,13,59,62,88,57,25,59,0
"Democratic Republic of the Congo","89561000","Africa",4.5,407000,84,64,67,76,92,94,32,42,50,36,13,36,0
"Denmark","5792000","Europe and Central Asia",0.6,4000,12,22,16,18,24,6,64,65,75,64,25,62,0
"Djibouti","988000","Africa",7.1,7000,62,58,34,75,10,57,41,46,38,29,0,36,0
"Dominican Republic","10848000","Americas",6.6,72000,39,38,53,62,13,41,32,62,63,57,0,46,0
"Ecuador","17643000","Americas",7.6,135000,49,38,52,61,26,48,50,58,63,57,13,51,1
"Egypt","102334000","Africa",4.3,442000,56,39,38,83,53,59,55,42,38,57,0,44,1
"El Salvador","6486000","Americas",8.1,52000,54,34,67,62,21,52,45,58,50,43,0,45,0
"Equatorial Guinea","1403000","Africa",7.8,11000,73,60,55,77,7,69,27,27,25,14,0,22,0
"Eritrea","3546000","Africa",90.3,320000,66,60,46,77,21,66,-5,23,25,-21,0,5,0
"Estonia","1327000","Europe and Central Asia",4.1,5000,16,18,25,50,23,15,59,46,75,79,25,56,1
"Eswatini","1160000","Africa",3.6,4000,71,52,39,71,4,59,27,38,50,57,0,36,0
"Ethiopia","114964000","Africa",6.3,727000,54,59,41,79,70,67,41,54,50,57,0,45,1
"Fiji","896000","Asia and the Pacific",NA,NA,NA,NA,NA,NA,NA,NA,50,50,38,64,0,46,0
"Finland","5541000","Europe and Central Asia",1.4,8000,12,21,12,24,22,5,55,62,88,71,25,60,0
"France","65274000","Europe and Central Asia",2.1,135000,11,21,28,33,38,13,41,81,88,57,38,62,0
"Gabon","2226000","Africa",7.6,17000,62,52,51,69,16,59,27,31,25,21,0,24,0
"Gambia","2417000","Africa",6.5,16000,65,51,41,65,16,58,23,58,25,43,0,36,0
"Georgia","3989000","Europe and Central Asia",7.8,31000,40,27,34,68,29,38,68,65,75,71,0,62,0
"Germany","83784000","Europe and Central Asia",0.6,47000,13,22,25,18,35,11,50,81,63,57,38,62,0
"Ghana","31073000","Africa",2.9,91000,43,44,47,62,21,45,45,54,63,36,13,45,1
