"country","htflowsunodc","prostitutionlaw","prostitutionbrothel","ruleWB_m","pop_ln","gdp_pc_const_ppp_ln","democracy","stockmigrants1990_ln","catholic2","reg_east_asia","reg_west_europe","reg_latam","reg_mideast","reg_sasia","reg_ssa"
"Aruba",NA,NA,NA,1.6626558303833,11.2941598892212,11.2231950759888,0,-0.00571059249341488,105.668075561523,0,1,0,0,0,0
"Andorra",NA,NA,NA,1.52053356170654,14.6286993026733,10.2526407241821,1,4.6175742149353,45.6547012329102,0,1,0,0,0,0
"Angola",0,0,0,-1.57386755943298,16.3443641662598,7.67166614532471,0,3.51154541969299,68.6999969482422,0,0,0,0,0,1
"Albania",3,0,0,-1.2143087387085,14.9577436447144,8.19037628173828,1,4.18965482711792,0,0,0,0,0,0,0
"Netherlands Antilles",NA,NA,NA,0.0336445979773998,12.158257484436,9.81092166900635,1,0.273919939994812,50.7216758728027,0,1,0,0,0,0
"United Arab Emirates",4,0,0,0.905699372291565,14.7040328979492,10.7400407791138,0,7.19315958023071,0.400000005960464,0,1,0,0,0,0
"Argentina",3,0,0,0.0771028846502304,17.364315032959,9.17123031616211,1,7.40847015380859,91.5999984741211,0,0,1,0,0,0
"Armenia",0,0,0,-0.453134626150131,14.9858751296997,7.44139051437378,1,6.49041986465454,0,0,0,0,0,0,0
"American Samoa",NA,NA,NA,0.258048176765442,13.3871259689331,10.302472114563,0,3.16712069511414,70.32763671875,1,0,0,0,0,0
"Antigua and Barbuda",NA,0,0,0.994625866413116,11.1295833587646,9.45425605773926,1,2.4849066734314,10.1999998092651,0,0,1,0,0,0
"Australia",4,1,1,1.7810446023941,16.7098751068115,10.1475172042847,1,8.18350887298584,29.6000003814697,0,1,0,0,0,0
"Austria",4,1,0,1.86340665817261,15.8890686035156,10.2241888046265,1,6.67607545852661,88.8000030517578,0,1,0,0,0,0
"Azerbaijan",0,0,0,-1.01244223117828,15.8547811508179,7.52499008178711,0,5.88776922225952,0,0,0,0,0,0,0
"Belgium",5,1,0,1.3021137714386,16.1316833496094,10.1917400360107,1,6.79290533065796,90,0,1,0,0,0,0
"Bulgaria",3,1,0,-0.245260998606682,15.9437417984009,8.83101463317871,1,3.06805300712585,0.5,0,0,0,0,0,0
"Bahrain",3,0,0,0.6266770362854,13.2667942047119,9.96263885498047,0,5.15444707870483,0.800000011920929,0,1,0,0,0,0
"Bahamas, The",NA,0,0,1.20748937129974,12.5469675064087,10.3575801849365,1,3.29212617874146,25.5,0,1,0,0,0,0
"Bosnia and Herzegovina",4,0,0,-0.644276440143585,15.0191202163696,7.39993000030518,0,4.02535152435303,15,0,0,0,0,0,0
"Belarus",0,0,0,-0.7574502825737,16.1373100280762,8.35753631591797,0,7.13009834289551,14,0,0,0,0,0,0
"Belize",2,1,0,-0.0846152454614639,12.285346031189,8.48480319976807,1,3.41444253921509,66.8000030517578,0,0,1,0,0,0
"Bermuda",NA,NA,NA,1.25757968425751,11.0300388336182,10.7805366516113,0,2.455806016922,33.4096641540527,0,1,0,0,0,0
"Bolivia",NA,1,0,-0.283320248126984,15.8283023834229,8.0678186416626,1,4.08765554428101,92.5,0,0,1,0,0,0
"Brazil",1,1,0,-0.270976454019547,18.9012031555176,8.95204544067383,1,6.68273496627808,87.8000030517578,0,0,1,0,0,0
"Barbados",NA,0,0,1.16897594928741,12.4606761932373,8.78476142883301,1,3.0633909702301,5.90000009536743,0,1,0,0,0,0
